pilot_name,pilot_country,pilot_serve,air_vic,oth_air_vic,notes,mia_or_kia
Otto Schulz †,Germany,Luftwaffe,51,NA,NA,"KIA, MIA, Died of wounds"
Dmitri Hlinka,Soviet Union,Soviet Air Force,50,NA,NA,Lived
Hans-Joachim Jabs,Germany,Luftwaffe,50,NA,NA,Lived
Emil Knittel,Germany,Luftwaffe,50,NA,NA,Lived
Frank Liesendahl,Germany,Luftwaffe,50,NA,NA,Lived
Herbert Lütje,Germany,Luftwaffe,50,NA,NA,Lived
Karl Willius †,Germany,Luftwaffe,50,NA,NA,"KIA, MIA, Died of wounds"
Heinz Arnold †,Germany,Luftwaffe,49,NA,Jet ace with 7 victories in Me 262,"KIA, MIA, Died of wounds"
Rudolf Ehrenberger †,Germany,Luftwaffe,49,NA,NA,"KIA, MIA, Died of wounds"
Reinhard Kollak,Germany,Luftwaffe,49,NA,NA,Lived
Klaus Quaet-Faslem †,Germany,Luftwaffe,49,NA,NA,"KIA, MIA, Died of wounds"
Richard Quante,Germany,Luftwaffe,49,NA,NA,Lived
Friedrich Beckh †,Germany,Luftwaffe,48,NA,NA,"KIA, MIA, Died of wounds"
Paul Gildner †,Germany,Luftwaffe,48,NA,NA,"KIA, MIA, Died of wounds"
Johannes Hager,Germany,Luftwaffe,47,NA,NA,Lived
Werner Stumpf †,Germany,Luftwaffe,48,NA,NA,"KIA, MIA, Died of wounds"
Franz Schwaiger †,Germany,Luftwaffe,48,NA,NA,"KIA, MIA, Died of wounds"
Heinz-Gerhard Vogt †,Germany,Luftwaffe,48,NA,NA,"KIA, MIA, Died of wounds"
Ernst-Georg Drünkler,Germany,Luftwaffe,47,NA,NA,Lived
Heinz Golinski †,Germany,Luftwaffe,47,NA,NA,"KIA, MIA, Died of wounds"
Eckhard Hübner,Germany,Luftwaffe,47,NA,NA,Lived
Herbert Kutscha †,Germany,Luftwaffe,47,NA,NA,"KIA, MIA, Died of wounds"
Erich Schmidt,Germany,Luftwaffe,47,NA,NA,Lived
Georg Seidel,Germany,Luftwaffe,47,NA,NA,Lived
Alexandru Şerbănescu  †,Romania,Royal Romanian Air Force,47,NA,NA,"KIA, MIA, Died of wounds"
Arseniy Vasilievich Vorozheikin,Soviet Union,Soviet Air Force,46,+6 in Battles of Khalkhin Gol,NA,Lived
Aleksandr Ivanovich Koldunov,Soviet Union,Soviet Air Force,46,NA,NA,Lived
Nikolay Mikhailovich Skomorohov,Soviet Union,Soviet Air Force,46,NA,NA,Lived
Hans-Heinz Augenstein,Germany,Luftwaffe,46,NA,NA,Lived
Ludwig Becker †,Germany,Luftwaffe,46,NA,NA,"KIA, MIA, Died of wounds"
Wolfgang Böwing-Treuding †,Germany,Luftwaffe,46,NA,NA,"KIA, MIA, Died of wounds"
Günter Fink †,Germany,Luftwaffe,46,NA,NA,"KIA, MIA, Died of wounds"
Erwin Laskowski,Germany,Luftwaffe,46,NA,NA,Lived
Karl Rammelt,Germany,Luftwaffe,46,NA,NA,Lived
Karl Schnörrer,Germany,Luftwaffe,46,NA,Jet ace with 11 victories in Me 262,Lived
Franz Schulte,Germany,Luftwaffe,46,NA,NA,Lived
Paul Semrau †,Germany,Luftwaffe,46,NA,NA,"KIA, MIA, Died of wounds"
Alfred Surau,Germany,Luftwaffe,46,NA,NA,Lived
Kurt Tangermann,Germany,Luftwaffe,46,NA,NA,Lived
Ernst Düllberg,Germany,Luftwaffe,45,NA,NA,Lived
Rudolf Frank †,Germany,Luftwaffe,45,NA,NA,"KIA, MIA, Died of wounds"
Gerhard Schöpfel,Germany,Luftwaffe,45,NA,NA,Lived
Franz Stigler,Germany,Luftwaffe,45,NA,NA,Lived
Otto Vinzent,Germany,Luftwaffe,45,NA,NA,Lived
Ion Milu,Romania,Royal Romanian Air Force,45,NA,NA,Lived
Urho Lehtovaara,Finland,Finnish Air Force,NA,NA,NA,Lived
Mato Dukovac,Croatia,Croatian Air Force,44,NA,Top Croatian ace,Lived
Oiva Tuominen,Finland,Finnish Air Force,44,NA,NA,Lived
Hans Frese,Germany,Luftwaffe,44,NA,NA,Lived
Karl-Wilhelm Hofmann †,Germany,Luftwaffe,44,NA,NA,"KIA, MIA, Died of wounds"
Reinhold Knacke †,Germany,Luftwaffe,44,NA,Staffelkapitän of 1./NJG 1,"KIA, MIA, Died of wounds"
Wilhelm Steinmann,Germany,Luftwaffe,44,NA,NA,Lived
Walther Wever †,Germany,Luftwaffe,44,NA,NA,"KIA, MIA, Died of wounds"
Vladimir Bobrov,Soviet Union,Soviet Air Force,43,NA,NA,Lived
Karl Borris,Germany,Luftwaffe,43,NA,NA,Lived
Ludwig Franzisket,Germany,Luftwaffe,43,NA,NA,Lived
Hubert Mütherich,Germany,Luftwaffe,43,NA,NA,Lived
Josef Pöhs †,Germany,Luftwaffe,43,NA,NA,"KIA, MIA, Died of wounds"
Dietrich Schmidt,Germany,Luftwaffe,43,NA,NA,Lived
Daniel Vizanty,Romania,Royal Romanian Air Force,43,NA,NA,Lived
Olli Puhakka,Finland,Finnish Air Force,42,NA,NA,Lived
Norbert Hannig,Germany,Luftwaffe,42,NA,NA,Lived
Jürgen Brocke †,Germany,Luftwaffe,42,NA,NA,"KIA, MIA, Died of wounds"
Tudor Greceanu,Romania,Royal Romanian Air Force,42,NA,NA,Lived
Rudolf Schmidt,Germany,Luftwaffe,42,NA,NA,Lived
Herbert Schramm †,Germany,Luftwaffe,42,NA,NA,"KIA, MIA, Died of wounds"
Robert Olejnik,Germany,Luftwaffe,41,NA,NA,Lived
Werner Baake,Germany,Luftwaffe,41,NA,NA,Lived
Leopold Fellerer,Germany,Luftwaffe,41,NA,NA,Lived
Wilhelm Balthasar †,Germany,Luftwaffe,40,+7 in Spanish Civil War,(+13 on ground),"KIA, MIA, Died of wounds"
Richard I. Bong †,United States,U.S. Army Air Forces,40,NA,Top U.S. ace,"KIA, MIA, Died of wounds"
Rudolf Busch,Germany,Luftwaffe,40,NA,NA,Lived
Peter Bremer,Germany,Luftwaffe,40,NA,NA,Lived
Wolf-Dietrich Huy,Germany,Luftwaffe,40,NA,NA,Lived
Hermann Neuhoff,Germany,Luftwaffe,40,NA,NA,Lived
Günter Steinhausen †,Germany,Luftwaffe,40,NA,NA,"KIA, MIA, Died of wounds"
Marmaduke 'Pat' Pattle †,South Africa,Royal Air Force,40,NA,"Top British Commonwealth and South African ace, possibly 50+ victories","KIA, MIA, Died of wounds"
Satoru Anabuki,Japan,Imperial Japanese Army,39,NA,51 claimed,Lived
Iyozo Fujita,Japan,Imperial Japanese Navy,39,NA,NA,Lived
Eckart-Wilhelm von Bonin,Germany,Luftwaffe,39,NA,NA,Lived
Cvitan Galić †,Croatia,Croatian Air Force,38,NA,NA,"KIA, MIA, Died of wounds"
Ernst Borngen,Germany,Luftwaffe,38,NA,NA,Lived
Detlev Rohwer †,Germany,Luftwaffe,38,NA,NA,"KIA, MIA, Died of wounds"
Eduard Tratt †,Germany,Luftwaffe,38,NA,NA,"KIA, MIA, Died of wounds"
"James Edgar ""Johnnie"" Johnson",United Kingdom,Royal Air Force,38,NA,NA,Lived
Thomas B. McGuire †,United States,U.S. Army Air Forces,38,NA,NA,"KIA, MIA, Died of wounds"
Ivan Babak,Soviet Union,Soviet Air Force,37,NA,NA,Lived
Klaus Neumann,Germany,Luftwaffe,37,NA,Jet ace with 5 victories in Me 262,Lived
Heinz Bretnutz,Germany,Luftwaffe,37,NA,NA,Lived
Waldemar Radener,Germany,Luftwaffe,37,NA,NA,Lived
Maximilian Volke †,Germany,Luftwaffe,37,NA,NA,"KIA, MIA, Died of wounds"
Sergey Luganski,Soviet Union,Soviet Air Force,37,NA,NA,Lived
Hiroyoshi Nishizawa †,Japan,Imperial Japanese Navy,36,NA,Claimed 87 and up to 100-150 victories,"KIA, MIA, Died of wounds"
Olavi Puro,Finland,Finnish Air Force,36,NA,NA,Lived
Nils Katajainen,Finland,Finnish Air Force,NA,NA,NA,Lived
Gunther Bertram,Germany,Luftwaffe,35,NA,NA,Lived
Petr Hnido,Soviet Union,Soviet Air Force,34,NA,NA,Lived
Paul Brandt,Germany,Luftwaffe,34,NA,NA,Lived
David McCampbell,United States,U.S. Navy,34,NA,"Top U.S. Navy ace, two-time ace in a day",Lived
Toshio Ota †,Japan,Imperial Japanese Navy,34,NA,NA,"KIA, MIA, Died of wounds"
Ivan Stepanenko,Soviet Union,Soviet Air Force,33,NA,NA,Lived
Pierre Clostermann,France/ Brazil,Free French Air Force; Royal Air Force,33,NA,Top French ace,Lived
Heinz Beyer,Germany,Luftwaffe,33,NA,NA,Lived
Lauri Nissinen †,Finland,Finnish Air Force,NA,NA,NA,"KIA, MIA, Died of wounds"
Ján Režňák,Slovak Republic,Slovak Air Force,32,NA,"Top Slovak ace, possibly 35 victories",Lived
Kyösti Karhila,Finland,Finnish Air Force,32,NA,NA,Lived
Hugo Frey †,Germany,Luftwaffe,32,NA,NA,"KIA, MIA, Died of wounds"
Kazuo Sugino,Japan,Imperial Japanese Navy,32,NA,NA,Lived
Adolph 'Sailor' Malan,South Africa,Royal Air Force,32,NA,NA,Lived
"George F. ""Buzz"" Beurling",Canada,Royal Air Force,31.5,NA,Top Canadian ace,Lived
Hans-Karl Mayer †,Germany,Luftwaffe,31,+8 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
Alexandr Kumanichkin,Soviet Union,Soviet Air Force,31,NA,NA,Lived
Jorma Karhunen,Finland,Finnish Air Force,31,NA,NA,Lived
Dezső Szentgyörgyi,Hungary,Royal Hungarian Air Force,NA,NA,Top Hungarian ace,Lived
Amet-Han Sultan,Soviet Union,Soviet Air Force,30,NA,+19 shared,Lived
Robert Roland Stanford Tuck,United Kingdom,Royal Air Force,30,NA,NA,Lived
William Vale,United Kingdom,Royal Air Force,30,NA,+6 shared,Lived
Franz Blazytko,Germany,Luftwaffe,30,NA,NA,Lived
Max Bucholz,Germany,Luftwaffe,30,NA,Ace in a day,Lived
Erich Bartz,Germany,Luftwaffe,30,NA,NA,Lived
"Friedrich-Karl ""Nasen"" Müller",Germany,Luftwaffe,30,NA,NA,Lived
Erich Woitke †,Germany,Luftwaffe,30,+4 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
Kaneyoshi Mutoh †,Japan,Imperial Japanese Navy,30,NA,NA,"KIA, MIA, Died of wounds"
Ryotaro Jobou,Japan,Imperial Japanese Army,30,NA,NA,Lived
Emil Vesa,Finland,Finnish Air Force,NA,NA,NA,Lived
Walter Adolph (officer) †,Germany,Luftwaffe,29,+1 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
Bob Braham,United Kingdom,Royal Air Force,29,NA,NA,Lived
Clive Caldwell,Australia,Royal Australian Air Force,NA,NA,Top Australian and P-40 ace of WWII. Ace in a day.,Lived
Tapio Järvi,Finland,Finnish Air Force,NA,NA,NA,Lived
Izidor Kovárik,Slovak Republic,Slovak Air Force,28,NA,possibly 29,Lived
Ernst Andres †,Germany,Luftwaffe,28,NA,NA,"KIA, MIA, Died of wounds"
Anton Benning,Germany,Luftwaffe,28,NA,NA,Lived
Alfred Burk,Germany,Luftwaffe,28,NA,NA,Lived
Hans-Heinrich Koenig †,Germany,Luftwaffe,28,NA,NA,"KIA, MIA, Died of wounds"
Yasuhiko Kuroe,Japan,Imperial Japanese Army,28,+2 in earlier Actions in Mongolia,51 claimed,Lived
"""Paddy"" Finucane †",Ireland,Royal Air Force,28,NA,Highest scoring Irish ace of all time. Youngest Wing Commander in history.,"KIA, MIA, Died of wounds"
"""Ginger"" Lacey",United Kingdom,Royal Air Force,28,NA,NA,Lived
"Francis ""Gabby"" Gabreski",United States,U.S. Army Air Forces,28,+6½ in Korean War,(+2½ ground kills),Lived
"Gregory ""Pappy"" Boyington",United States,American Volunteer Group; U.S. Marine Corps,28,NA,6 victories with AVG; 22 with USMC,Lived
Saburō Sakai,Japan,Imperial Japanese Navy,28,NA,Includes unknown number of shared. Claims 64 total victories.,Lived
Colin Falkland Gray,New Zealand,Royal Air Force,NA,NA,Top New Zealand ace,Lived
Neville Duke,United Kingdom,Royal Air Force,27,NA,NA,Lived
Karl Beckmann,Germany,Luftwaffe,27,NA,NA,Lived
Emil Clade,Germany,Luftwaffe,27,NA,NA,Lived
Josef Fözö,Germany,Luftwaffe,27,+3 in Spanish Civil War,NA,Lived
Lothar Linke †,Germany,Luftwaffe,27,NA,NA,"KIA, MIA, Died of wounds"
Constantin Rozariu,Romania,Royal Romanian Air Force,27,NA,NA,Lived
Robert S. Johnson,United States,U.S. Army Air Forces,27,NA,NA,Lived
Charles H. MacDonald,United States,U.S. Army Air Forces,27,NA,NA,Lived
Junichi Sasai †,Japan,Imperial Japanese Navy,27,NA,NA,"KIA, MIA, Died of wounds"
Sadaaki Akamatsu,Japan,Imperial Japanese Navy,27,NA,NA,Lived
"George E. Preddy, Jr. †",United States,U.S. Army Air Forces,26.83,NA,Ace in a day (+5 ground kills),"KIA, MIA, Died of wounds"
Eric Lock †,United Kingdom,Royal Air Force,NA,NA,NA,"KIA, MIA, Died of wounds"
Klaus Alakoski,Finland,Finnish Air Force,26,NA,NA,Lived
Willi Reschke,Germany,Luftwaffe,26,NA,NA,Lived
Nobuo Ogiya,Japan,Imperial Japanese Navy,26,NA,NA,Lived
Ján Gerthoffer,Slovak Republic,Slovak Air Force,26,NA,NA,Lived
Joseph J. Foss,United States,U.S. Marine Corps,26,NA,Top ace under USMC-only service,Lived
Lev Shestakov †,Soviet Union,Soviet Air Force,65,+39 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
György Debrődy,Hungary,Royal Hungarian Air Force,26,NA,NA,Lived
Lajos Tóth,Hungary,Royal Hungarian Air Force,26,NA,NA,Lived
Russell Bannock,Canada,Royal Canadian Air Force,NA,NA,includes 19 V-1 flying bombs,Lived
Egon Albrecht-Lemke †,Nazi Germany/ Brazil,Luftwaffe,25,NA,NA,"KIA, MIA, Died of wounds"
Ludwig Bellof,Germany,Luftwaffe,25,NA,NA,Lived
Wolfgang Lippert †,Germany,Luftwaffe,25,+5 in Spanish Civil War,NA,"KIA, MIA, Died of wounds"
Robert M. Hanson †,United States,U.S. Marine Corps,25,NA,NA,"KIA, MIA, Died of wounds"
Boris Safonov †,Soviet Union,Soviet Naval Aviation,25,NA,+14 shared,"KIA, MIA, Died of wounds"
Naoshi Kanno,Japan,Imperial Japanese Navy,25,NA,NA,Lived
László Molnár †,Hungary,Royal Hungarian Air Force,25,NA,NA,"KIA, MIA, Died of wounds"
Frank Reginald Carey,United Kingdom,Royal Air Force,25,NA,NA,Lived
John C. Meyer,United States,U.S. Army Air Forces,24,+2 in Korean War,(+13 ground kills),Lived
Cecil E. Harris,United States,U.S. Navy,24,NA,NA,Lived
Peter Spoden,Germany,Luftwaffe,24,NA,Night Fighter Ace,Lived
Marcel Albert,France,Free French Air Force,23,NA,Probably 2 more,Lived
Douglas Bader,United Kingdom,Royal Air Force,23,NA,NA,Lived
Eugene A. Valencia,United States,U.S. Navy,23,NA,NA,Lived
Kalevi Tervo,Finland,Finnish Air Force,23,NA,NA,Lived
Jorma Saarinen,Finland,Finnish Air Force,23,NA,NA,Lived
Lance C. Wade †,United States,Royal Air Force,23,NA,NA,"KIA, MIA, Died of wounds"
Horst Patuschka †,Germany,Luftwaffe,22,NA,NA,"KIA, MIA, Died of wounds"
Eero Kinnunen,Finland,Finnish Air Force,NA,NA,NA,Lived
David C. Schilling,United States,U.S. Army Air Forces,NA,NA,(+10½ ground kills),Lived
Rolf Pingel,Germany,Luftwaffe,22,+6 Spanish Civil War,NA,Lived
Teresio Vittorio Martinoli †,Italy,Regia Aeronautica,22,NA,Top scoring Italian ace of WWII; +14 shared,"KIA, MIA, Died of wounds"
Leonardo Ferrulli †,Italy,Regia Aeronautica,22,NA,NA,"KIA, MIA, Died of wounds"
Fritz Müller,Germany,Luftwaffe,22,NA,Jet ace with 6 victories in Me 262,Lived
Artur Beese,Germany,Luftwaffe,22,NA,NA,Lived
Edward F. Charles,Canada,Royal Canadian Air Force,22,NA,NA,Lived
Alan Christopher Deere,New Zealand,Royal Air Force,22,NA,NA,Lived
Gerald R. Johnson,United States,U.S. Army Air Forces,22,NA,NA,Lived
Neel E. Kearby †,United States,U.S. Army Air Forces,22,NA,NA,"KIA, MIA, Died of wounds"
Jay T. Robbins,United States,U.S. Army Air Forces,22,NA,NA,Lived
Ion Mucenica,Romania,Royal Romanian Air Force,22,NA,NA,Lived
Dominic S. Gentile,United States,Royal Air Force; U.S. Army Air Forces,21.83,NA,2 victories with RAF; 19.83 with USAAF (+7 ground kills),Lived
Donald Kingaby,United Kingdom,Royal Air Force,21,NA,+2 shared,Lived
Antti Tani,Finland,Finnish Air Force,NA,NA,NA,Lived
William V. Crawford-Crompton,New Zealand,Royal Air Force,NA,NA,NA,Lived
Raymond Brown Hesselyn,New Zealand,Royal New Zealand Air Force,NA,NA,NA,Lived
Fred J. Christensen,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Raymond S. Wetmore,United States,U.S. Army Air Forces,NA,NA,(+2 ground kills),Lived
Branse Burbridge,United Kingdom,Royal Air Force,21,NA,Top RAF night fighter ace,Lived
Archie McKellar †,United Kingdom,Royal Air Force,21,NA,Ace in a day,"KIA, MIA, Died of wounds"
Jean Demozay,France,Royal Air Force,21,NA,NA,Lived
Franco Lucchini †,Italy,Regia Aeronautica,21,+6 in Spanish Civil War,+52 shared,"KIA, MIA, Died of wounds"
Theodor Rossiwall,Germany,Luftwaffe,21,NA,NA,Lived
Franz von Werra †,Germany,Luftwaffe,21,NA,NA,"KIA, MIA, Died of wounds"
John J. Voll,United States,U.S. Army Air Forces,21,NA,NA,Lived
Kenneth A. Walsh,United States,U.S. Marine Corps,21,NA,NA,Lived
Paavo Myllylä,Finland,Finnish Air Force,21,NA,NA,Lived
Walker 'Bud' Melville Mahurin,United States,U.S. Army Air Forces,20.75,+3½ in Korean War,NA,Lived
Donald N. Aldrich,United States,U.S. Marine Corps,20,NA,NA,Lived
Rudolph Anter,Germany,Luftwaffe,20,NA,NA,Lived
Helmut Baudach,Germany,Luftwaffe,20,NA,Jet ace with 5 victories in Me 262,Lived
Paul Becker,Germany,Luftwaffe,20,NA,NA,Lived
Hans Berschwinger,Germany,Luftwaffe,20,NA,NA,Lived
Helmut-Felix Bolz,Germany,Luftwaffe,20,+3 in Spanish Civil War,NA,Lived
Cristea Chirvasuta,Romania,Royal Romanian Air Force,20,NA,NA,Lived
Michael Crossley,United Kingdom,Royal Air Force,20,NA,NA,Lived
Thomas J. Lynch †,United States,U.S. Army Air Forces,20,NA,NA,"KIA, MIA, Died of wounds"
Evan Mackie,New Zealand,Royal New Zealand Air Force,20,NA,"+3 shared, 16 victories with Spitfires",Lived
Henry Wallace McLeod †,Canada,Royal Canadian Air Force,20,NA,NA,"KIA, MIA, Died of wounds"
Gerhard Sommer †,Germany,Luftwaffe,20,NA,NA,"KIA, MIA, Died of wounds"
Robert B. Westbrook †,United States,U.S. Army Air Forces,20,NA,NA,"KIA, MIA, Died of wounds"
Vernon Crompton Woodward,Canada,Royal Air Force,20,NA,NA,Lived
Geoffrey Allard,United Kingdom,Royal Air Force,19,NA,+5 shared,Lived
Viktor Pyötsiä,Finland,Finnish Air Force,NA,NA,NA,Lived
Väinö Suhonen,Finland,Finnish Air Force,NA,NA,NA,Lived
Franco Bordoni,Italy,Regia Aeronautica,19,NA,5 victories with biplane; +18 shared,Lived
Mark Henry Brown †,Canada,Royal Air Force,19,NA,First Canadian ace of WWII,"KIA, MIA, Died of wounds"
Roy Dutton,United Kingdom,Royal Air Force,19,NA,NA,Lived
Luigi Gorrini,Italy,Regia Aeronautica,19,NA,"1 victory with biplane, 24 victories claimed",Lived
"John ""Cat's Eyes"" Cunningham",United Kingdom,Royal Air Force,19,NA,Night fighter ace,Lived
Glenn E. Duncan,United States,U.S. Army Air Forces,19,NA,(+7.8 ground kills),Lived
Patrick D. Fleming,United States,U.S. Navy,19,NA,NA,Lived
Cornelius N. Nooy,United States,U.S. Navy,19,NA,NA,Lived
John Lucian Smith,United States,U.S. Marine Corps,19,NA,NA,Lived
Alexander Vraciu,United States,U.S. Navy,19,NA,(Romanian origin),Lived
Erik Teromaa,Finland,Finnish Air Force,19,NA,NA,Lived
Constantin Lungulescu,Romania,Royal Romanian Air Force,19,NA,NA,Lived
Stanisław Skalski,Poland,Polish Air Force/Royal Air Force,18.91,NA,Top Polish ace,Lived
Arthur J. Benko,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Marion E. Carl,United States,U.S. Marine Corps,NA,NA,NA,Lived
Lauri Pekuri,Finland,Finnish Air Force,NA,NA,NA,Lived
Leonard K. Carson,United States,U.S. Army Air Forces,NA,NA,(+3½ ground kills),Lived
Glenn Eagleston,United States,U.S. Army Air Forces,NA,+2 in Korean War,(+5 ground kills),Lived
Wilbur J. Thomas,United States,U.S. Marine Corps,NA,NA,NA,Lived
Yukiyoshi Wakamatsu,Japan,Imperial Japanese Army,NA,NA,NA,Lived
Tateo Kato,Japan,Imperial Japanese Army,18,NA,up to 30 claimed,Lived
Karel Kuttelwascher,Czechoslovakia,Royal Air Force,18,NA,possibly 20,Lived
Harry von Bülow-Bothkamp,Germany,Luftwaffe,18,+6 in World War I,NA,Lived
Witold Urbanowicz,Poland,Polish Air Force/Royal Air Force,18,NA,NA,Lived
Walter C. Beckham,United States,U.S. Army Air Forces,18,NA,NA,Lived
Herschel H. Green,United States,U.S. Army Air Forces,18,NA,NA,Lived
"John C. ""Pappy"" Herbst",United States,U.S. Army Air Forces,18,NA,NA,Lived
Albert Gerald Lewis,South Africa,Royal Air Force,18,NA,Ace in a day,Lived
Miklós Kenyeres,Hungary,Royal Hungarian Air Force,18,NA,(The only pilot who could recover his comrade - Gy. Debrődy - with Bf109 from behind the enemy line),Lived
Charles H. Older,United States,American Volunteer Group; U.S. Army Air Forces,18,NA,10 victories with AVG; 8 with USAAF,Lived
Takeo Tanimizu,Japan,Imperial Japanese Navy,18,NA,NA,Lived
Pierre Le Gloan,France,French Air Force,18,NA,Ace in a day,Lived
Hubert Zemke,United States,U.S. Army Air Forces,17.75,NA,NA,Lived
John B. England,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Duane W. Beeson,United States,U.S. Army Air Forces,NA,NA,(+4.8 ground kills),Lived
Jouko Huotari,Finland,Finnish Air Force,NA,NA,NA,Lived
John F. Thornell,United States,U.S. Army Air Forces,NA,NA,(+2 ground kills),Lived
Henry W. Brown,United States,U.S. Army Air Forces,17.2,NA,(+14½ ground kills),Lived
Rudolf Božík,Slovak Republic,Slovak Air Force,17,NA,NA,Lived
Ugo Drago,Italy,Regia Aeronautica,17,NA,(11 RSI),Lived
Cobber Kain,New Zealand,Royal Air Force,17,NA,First RAF fighter ace of WWII,Lived
"William ""Willie"" McKnight",Canada,Royal Air Force,17,NA,NA,Lived
Josef Frantisek,Czechoslovakia,Royal Air Force,17,NA,NA,Lived
Jorma Sarvanto,Finland,Finnish Air Force,17,NA,Ace in a Day (four minutes),Lived
Yrjö Turkka,Finland,Finnish Air Force,17,NA,NA,Lived
Gerald W. Johnson,United States,U.S. Army Air Forces,17,NA,NA,Lived
James S. Varnell Jr.,United States,U.S. Army Air Forces,17,NA,NA,Lived
Bolesław Gładych,Poland,Polish Air Force/Royal Air Force/U.S. Army Air Forces,17,NA,Victories as Polish Air Force pilot flying with RAF and with USAAF,Lived
Keith Truscott,Australia,Royal Australian Air Force,17,NA,NA,Lived
Stanley Orr,United Kingdom,Fleet Air Arm,17,NA,NA,Lived
Tony Lovell,United Kingdom,Royal Air Force,NA,NA,16 victories plus 6 shared victories,Lived
Eugeniusz Horbaczewski,Poland,Polish Air Force/Royal Air Force,NA,NA,NA,Lived
William T. Klersey †,Canada,Royal Canadian Air Force,NA,NA,(+2 ground kills),"KIA, MIA, Died of wounds"
Aulis Lumme,Finland,Finnish Air Force,NA,NA,NA,Lived
James MacLachlan,United Kingdom,Royal Air Force,NA,NA,7½ after the amputation of his left arm,Lived
Eero Riihikallio,Finland,Finnish Air Force,NA,NA,NA,Lived
Nigel Cullen,Australia,Royal Air Force,NA,NA,NA,Lived
John T. Godfrey,United States,U.S. Army Air Forces,NA,NA,(+18 ground kills),Lived
Adrian Goldsmith,Australia,Royal Australian Air Force,NA,NA,NA,Lived
Clarence E. Anderson,United States,U.S. Army Air Forces,NA,NA,(+1 ground kill),Lived
Paul Galland,Germany,Luftwaffe,16,NA,NA,Lived
Les Clisby,Australia,Royal Air Force,16,NA,NA,Lived
Franjo Dzal,Croatia,Croatian Air Force,16,NA,NA,Lived
Douglas Baker,United States,U.S. Navy,16,NA,NA,Lived
James Francis Edwards,Canada,Royal Canadian Air Force,16,NA,NA,Lived
Eero Halonen,Finland,Finnish Air Force,16,NA,NA,Lived
Bill Harris,United States,U.S. Army Air Forces,16,NA,NA,Lived
Buck McNair,Canada,Royal Canadian Air Force,16,NA,NA,Lived
John Plagis,Rhodesia,Royal Air Force,16,NA,Top Rhodesian ace,Lived
Ioan Dicezare,Romania,Royal Romanian Air Force,16,NA,NA,Lived
Ira C. Kepford,United States,U.S. Navy,16,NA,NA,Lived
Charles R. Stimpson,United States,U.S. Navy,16,NA,NA,Lived
Stan Turner,Canada,Royal Canadian Air Force,16,NA,NA,Lived
"William T. Whisner, Jr.",United States,U.S. Army Air Forces,16,+5½ in Korean War,(+3½ ground kills),Lived
George Welch,United States,U.S. Army Air Forces,16,NA,NA,Lived
Edmond Marin la Meslée,France,French Air Force,16,NA,NA,Lived
Mario Visintini,Italy,Regia Aeronautica,16,+1 in Spanish Civil War,Top Biplane ace of WWII (+32 ground kills),Lived
Vasile Gavriliu,Romania,Royal Romanian Air Force,16,NA,NA,Lived
Ernest Mason,United Kingdom,Royal Air Force,NA,NA,2 shared,Lived
John Lloyd Waddy,Australia,Royal Australian Air Force,NA,NA,NA,Lived
Donald M. Beerbower,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Brian Carbury,New Zealand,Royal Air Force,NA,NA,Ace in a day,Lived
Richard A. Peterson,United States,U.S. Army Air Forces,NA,NA,(+3½ ground kills),Lived
James E. Swett,United States,U.S. Marine Corps,NA,NA,Ace in a day,Lived
"David Lee ""Tex"" Hill",United States,American Volunteer Group; U.S. Army Air Forces,NA,NA,10¼ victories with AVG; 5 with USAAF,Lived
Martti Alho,Finland,Finnish Air Force,15,NA,NA,Lived
Ljudevit Bencetic,Croatia,Croatian Air Force,15,NA,NA,Lived
Jack T. Bradley,United States,U.S. Army Air Forces,15,NA,NA,Lived
Samuel J. Brown,United States,U.S. Army Air Forces,15,NA,NA,Lived
"Edward ""Porky"" Cragg",United States,U.S. Army Air Forces,15,NA,NA,Lived
František Cyprich,Slovak Republic,Slovak Air Force,15,NA,possibly 18,Lived
Kenneth H. Dahlberg,United States,U.S. Army Air Forces,15,NA,NA,Lived
William D. Dunham,United States,U.S. Army Air Forces,15,NA,NA,Lived
Robert W. Foy,United States,U.S. Army Air Forces,15,NA,NA,Lived
"John ""Jack"" Frost †",South Africa,South African Air Force,15,NA,NA,"KIA, MIA, Died of wounds"
Raymond Harries,United Kingdom,Royal Air Force,15,NA,+3 shared,Lived
Ralph K. Hofer,United States,U.S. Army Air Forces,15,NA,(+14 ground kills),Lived
Cyril F. Homer,United States,U.S. Army Air Forces,15,NA,NA,Lived
Paterson Hughes,Australia,Royal Air Force,15,NA,NA,Lived
Don C. Laubman,Canada,Royal Canadian Air Force,15,NA,NA,Lived
Ian Roy MacLennan,Canada,Royal Canadian Air Force,15,NA,NA,Lived
Harold L. Spears,United States,U.S. Marine Corps,15,NA,NA,Lived
Stoyan Stoyanov,Bulgaria,Royal Bulgarian Air Force,15,NA,NA,Lived
